".id"	"sector"	"title"	"issue"	"paid"	"date"	"views"	"location"	"report"
"45"	"http://www.ipaidabribe.com/reports/paid?page=50"	"Passport"	"
                      I paid Rs 300 to police conistable at his home in Tirupati
                    "	"Police Clearance Certificate"	"Paid INR 300
                        "	"November 01, 2015"	"100 views"	"Tirupati
                      , Andhra Pradesh"	"81392"
"46"	"http://www.ipaidabribe.com/reports/paid?page=50"	"Municipal Services"	"
                      I Paid Rs. 100 to Municipal Services in Kolkata.
                    "	"Birth Certificate"	"Paid INR 100
                        "	"November 01, 2015"	"76 views"	"Kolkata
                      , West Bengal"	"81391"
"47"	"http://www.ipaidabribe.com/reports/paid?page=50"	"Police"	"
                      I Paid Rs. 1000 to Police in Bangalore.
                    "	"Filing FIR"	"Paid INR 1,000
                        "	"October 31, 2015"	"129 views"	"Bangalore
                      , Karnataka"	"81383"
"48"	"http://www.ipaidabribe.com/reports/paid?page=50"	"Municipal Services"	"
                      I Paid Rs. 1122 to Municipal Services in Jhalawar.
                    "	"Birth Certificate"	"Paid INR 1,122
                        "	"October 31, 2015"	"101 views"	"Jhalawar
                      , Rajasthan"	"81382"
"49"	"http://www.ipaidabribe.com/reports/paid?page=50"	"Municipal Services"	"
                      I Paid Rs. 600 to Municipal Services in Goalpara.
                    "	"Birth Certificate"	"Paid INR 600
                        "	"October 31, 2015"	"120 views"	"Goalpara
                      , Assam"	"81377"
"50"	"http://www.ipaidabribe.com/reports/paid?page=50"	"Others"	"
                      I Paid Rs. 400 to Others in Chittoor.
                    "	"Others"	"Paid INR 400
                        "	"October 31, 2015"	"135 views"	"Chittoor
                      , Andhra Pradesh"	"81374"
"51"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Police"	"
                      Bribe for passport verification 
                    "	"Police Clearance Certificate"	"Paid INR 200
                        "	"October 31, 2015"	"130 views"	"Mumbai
                      , Maharashtra"	"81367"
"52"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Commercial Tax, Sales Tax, VAT"	"
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Gurgaon.
                    "	"C Form"	"Paid INR 1,000
                        "	"October 31, 2015"	"114 views"	"Gurgaon
                      , Haryana"	"81366"
"53"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Commercial Tax, Sales Tax, VAT"	"
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.
                    "	"C Form"	"Paid INR 100
                        "	"October 31, 2015"	"101 views"	"Abohar
                      , Punjab"	"81364"
"54"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Customs, Excise and Service Tax"	"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Abhayapuri.
                    "	"Customs Check and Clearance"	"Paid INR 500
                        "	"October 31, 2015"	"104 views"	"Abhayapuri
                      , Assam"	"81363"
"55"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Income Tax"	"
                      I Paid Rs. 200 to Income Tax in Bangalore.
                    "	"New PAN Card"	"Paid INR 200
                        "	"October 31, 2015"	"96 views"	"Bangalore
                      , Karnataka"	"81361"
"56"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Municipal Services"	"
                      I Paid Rs. 100000 to Municipal Services in Lucknow.
                    "	"Birth Certificate"	"Paid INR 1,00,000
                        "	"October 31, 2015"	"77 views"	"Lucknow
                      , Uttar Pradesh"	"81354"
"57"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Passport"	"
                      I Paid Rs. 500 to Passport in Anantapur.
                    "	"Police Verification for Passport"	"Paid INR 500
                        "	"October 31, 2015"	"98 views"	"Anantapur
                      , Andhra Pradesh"	"81343"
"58"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Municipal Services"	"
                      I Paid Rs. 50000 to Municipal Services in Mumbai.
                    "	"Birth Certificate"	"Paid INR 50,000
                        "	"October 31, 2015"	"101 views"	"Mumbai
                      , Maharashtra"	"81340"
"59"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Municipal Services"	"
                      I Paid Rs. 13 to Municipal Services in Ahmedabad.
                    "	"Birth Certificate"	"Paid INR 13
                        "	"October 31, 2015"	"86 views"	"Ahmedabad
                      , Gujarat"	"81338"
"60"	"http://www.ipaidabribe.com/reports/paid?page=60"	"Customs, Excise and Service Tax"	"
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Gorakhpur.
                    "	"Customs Check and Clearance"	"Paid INR 100
                        "	"October 31, 2015"	"101 views"	"Gorakhpur
                      , Uttar Pradesh"	"81336"
"61"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Municipal Services"	"
                      I Paid Rs. 10000 to Municipal Services in Bareilly.
                    "	"Birth Certificate"	"Paid INR 10,000
                        "	"October 31, 2015"	"93 views"	"Bareilly
                      , Uttar Pradesh"	"81333"
"62"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Transport"	"
                      I Paid Rs. 100 to Transport in Abohar.
                    "	"Duplicate Registration Certificate"	"Paid INR 100
                        "	"October 31, 2015"	"103 views"	"Abohar
                      , Punjab"	"81324"
"63"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Police"	"
                      I Paid Rs. 100 to Police in New Delhi.
                    "	"Traffic Violations"	"Paid INR 100
                        "	"October 31, 2015"	"85 views"	"New Delhi
                      , Delhi"	"81322"
"64"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Municipal Services"	"
                      I Paid Rs. 210 to Municipal Services in Adari.
                    "	"Birth Certificate"	"Paid INR 210
                        "	"October 31, 2015"	"75 views"	"Adari
                      , Uttar Pradesh"	"81315"
"65"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Food, Civil Supplies and Consumer Affairs"	"
                      I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Chennai.
                    "	"Issue of Ration Card"	"Paid INR 100
                        "	"October 31, 2015"	"80 views"	"Chennai
                      , Tamil Nadu"	"81309"
"66"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Municipal Services"	"
                      I Paid Rs. 40 to Municipal Services in Nagpur.
                    "	"Birth Certificate"	"Paid INR 40
                        "	"October 31, 2015"	"73 views"	"Nagpur
                      , Maharashtra"	"81305"
"67"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Others"	"
                      I Paid Rs. 10000 to Others in Hyderabad.
                    "	"Others"	"Paid INR 10,000
                        "	"October 31, 2015"	"72 views"	"Hyderabad
                      , Telangana"	"81303"
"68"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Police"	"
                      I Paid Rs. 100 to Police in Akola.
                    "	"Traffic Violations"	"Paid INR 100
                        "	"October 31, 2015"	"70 views"	"Akola
                      , Madhya Pradesh"	"81300"
"69"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Income Tax"	"
                      I Paid Rs. 1 to Income Tax in Barabanki.
                    "	"New PAN Card"	"Paid INR 1
                        "	"October 31, 2015"	"69 views"	"Barabanki
                      , Uttar Pradesh"	"81298"
"70"	"http://www.ipaidabribe.com/reports/paid?page=70"	"Commercial Tax, Sales Tax, VAT"	"
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    "	"C Form"	"Paid INR 10
                        "	"October 31, 2015"	"67 views"	"Abhayapuri
                      , Assam"	"81289"
"71"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Municipal Services"	"
                      I Paid Rs. 25 to Municipal Services in Akola.
                    "	"Birth Certificate"	"Paid INR 25
                        "	"October 31, 2015"	"59 views"	"Akola
                      , Madhya Pradesh"	"81287"
"72"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Stamps and Registration"	"
                      I Paid Rs. 5000 to Stamps and Registration in Pune.
                    "	"Registration of Flat or Apartment"	"Paid INR 5,000
                        "	"October 31, 2015"	"106 views"	"Pune
                      , Maharashtra"	"81280"
"73"	"http://www.ipaidabribe.com/reports/paid?page=80"	"Municipal Services"	"
                      I Paid Rs. 1 to Municipal Services in Bhubaneswar.
                    "	"Birth Certificate"	"Paid INR 1
                        "	"October 31, 2015"	"61 views"	"Bhubaneswar
                      , Orissa"	"81279"
